"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","25","1","1","177.636948","0","139"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","1","1","15.801974","0","14"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","5.617455","0","5"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","2","1","15.392597","0","45"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","1","1","20.970388","0","73"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","2","1","227.892136","0","302"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","4","1","91.506584","0","80"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","1","1","3.728142","0","8"
"/Game/Blueprints/FogOfWar/FOW_Explored_Mat.FOW_Explored_Mat","0","3","1","1","3.507887","0","8"
"/Game/Blueprints/FogOfWar/FOW_Exploring_Mat.FOW_Exploring_Mat","0","3","1","1","5.551611","0","8"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","27","1","1","150.353287","0","201"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","1","1","7.165623","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","1","1","3.351530","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","15","1","1","17.537231","0","91"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","21","1","1","200.386459","0","176"
"/Game/Blueprints/FogOfWar/FOW_GameActorMat.FOW_GameActorMat","0","3","1","1","7.091783","0","8"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","54","6","1","367.653656","0","576"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","80","1","1","512.677490","0","1170"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","8","2","70.672333","0","229"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","10","6","65.320564","0","226"
"/Game/Blueprints/Sprite_FaceCamera/Test_Sprite.Test_Sprite","0","12","1","1","88.653015","0","59"
"/Game/Blueprints/Tile_Textures/Asset_Textures/Materials/Rock_Material.Rock_Material","0","18","1","1","117.503357","0","126"
"/Game/Blueprints/Tile_Textures/Asset_Textures/Materials/Tree_Material.Tree_Material","0","18","2","1","130.304245","0","100"
"/Game/Materials/M_HexTile.M_HexTile","0","48","2","2","497.118286","0","334"
"/Game/Materials/M_HexTileBlight.M_HexTileBlight","0","36","2","1","243.249527","0","293"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","6.225560","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
